Product_ID,Date,Base_Cost,Price,Competitor_Price,Inventory,Units_Demanded
P1,2024-01-01,15.48,28.13,29.41,46,106
P1,2024-01-02,15.48,28.94,28.40,156,78
P1,2024-01-03,15.48,27.54,27.36,178,112
P1,2024-01-04,15.48,28.00,30.52,143,114
P1,2024-01-05,15.48,27.57,28.48,98,122
P1,2024-01-06,15.48,29.13,28.51,53,79
P1,2024-01-07,15.48,26.44,29.63,113,142
P1,2024-01-08,15.48,27.42,27.29,185,115
P1,2024-01-09,15.48,28.21,27.51,29,97
P1,2024-01-10,15.48,27.48,30.54,169,116
P1,2024-01-11,15.48,27.10,27.43,100,123
P1,2024-01-12,15.48,26.99,30.97,57,132
P1,2024-01-13,15.48,27.67,30.86,50,115
P1,2024-01-14,15.48,30.45,27.22,87,46
P1,2024-01-15,15.48,27.26,26.28,189,125
P1,2024-01-16,15.48,31.03,29.93,187,32
P1,2024-01-17,15.48,25.22,27.33,121,166
P1,2024-01-18,15.48,27.61,29.20,143,114
P1,2024-01-19,15.48,28.86,27.94,102,90
P1,2024-01-20,15.48,28.48,27.27,187,92
P1,2024-01-21,15.48,29.44,29.32,131,69
P1,2024-01-22,15.48,24.98,29.14,150,176
P1,2024-01-23,15.48,27.04,25.61,197,125
P1,2024-01-24,15.48,26.67,30.63,133,139
P1,2024-01-25,15.48,30.37,28.20,51,53
P1,2024-01-26,15.48,28.70,27.75,67,84
P1,2024-01-27,15.48,29.02,28.24,181,80
P1,2024-01-28,15.48,27.31,28.42,136,123
P1,2024-01-29,15.48,28.46,28.64,50,95
P1,2024-01-30,15.48,29.23,29.45,128,78
P1,2024-01-31,15.48,27.23,25.63,27,121
P1,2024-02-01,15.48,28.06,27.25,99,112
P1,2024-02-02,15.48,31.81,30.66,188,15
P1,2024-02-03,15.48,27.51,26.47,70,118
P1,2024-02-04,15.48,30.71,30.33,136,46
P1,2024-02-05,15.48,28.26,25.58,126,108
P1,2024-02-06,15.48,29.79,25.41,132,72
P1,2024-02-07,15.48,30.16,28.99,107,57
P1,2024-02-08,15.48,28.96,29.35,110,88
P1,2024-02-09,15.48,27.30,28.46,37,134
P1,2024-02-10,15.48,28.59,30.94,121,98
P1,2024-02-11,15.48,31.11,25.59,148,33
P1,2024-02-12,15.48,31.47,25.74,90,27
P1,2024-02-13,15.48,31.80,30.19,22,15
P1,2024-02-14,15.48,28.71,26.44,185,93
P1,2024-02-15,15.48,29.86,28.97,153,65
P1,2024-02-16,15.48,28.00,25.73,127,108
P1,2024-02-17,15.48,27.21,29.62,140,131
P1,2024-02-18,15.48,27.08,28.07,128,125
P1,2024-02-19,15.48,30.69,28.94,66,48
P1,2024-02-20,15.48,27.97,28.32,39,112
P1,2024-02-21,15.48,30.10,28.27,114,61
P1,2024-02-22,15.48,29.51,30.51,46,74
P1,2024-02-23,15.48,26.52,25.94,20,140
P1,2024-02-24,15.48,31.79,30.30,67,20
P1,2024-02-25,15.48,26.54,28.84,119,143
P1,2024-02-26,15.48,25.13,27.73,146,178
P1,2024-02-27,15.48,27.89,29.81,146,120
P1,2024-02-28,15.48,26.63,29.12,95,138
